instance_name,best,best_performance,AntCol_rhyd_Run1,AntCol_rhyd_Run2,Construction_ROS_chiarandini_Run1,Construction_ROS_chiarandini_Run2,DSATUR_chiarandini_Run1,DSATUR_chiarandini_Run2,EX_DSATUR_chiarandini_Run1,EX_DSATUR_chiarandini_Run2,Greedy_chiarandini_Run1,Greedy_chiarandini_Run2,HEA_RLF_chiarandini_Run1,HEA_RLF_chiarandini_Run2,HEA_chiarandini_Run1,HEA_chiarandini_Run2,HEA_rhyd_Run1,HEA_rhyd_Run2,HillClimb_rhyd_Run1,HillClimb_rhyd_Run2,PartialCol_chiarandini_Run1,PartialCol_chiarandini_Run2,PartialCol_rhyd_Run1,PartialCol_rhyd_Run2,Penalty_chiarandini_Run1,Penalty_chiarandini_Run2,RLF_chiarandini_Run1,RLF_chiarandini_Run2,TABUCOL_chiarandini_Run1,TABUCOL_chiarandini_Run2,TABUCOL_rhyd_Run1,TABUCOL_rhyd_Run2
r1000.5.col,234,234,nan,nan,282,275,250,250,250,250,282,275,251,250,250,250,nan,nan,nan,nan,250,250,nan,nan,nan,nan,251,253,249,248,nan,nan
fpsol2.i.3.col,30,30,nan,nan,30,30,30,30,30,30,30,30,30,30,30,30,nan,nan,nan,nan,30,30,nan,nan,nan,nan,30,30,30,30,nan,nan
myciel5g.col,47,6,nan,nan,6,6,6,6,6,6,6,6,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
queen10_10.col,11,11,nan,nan,15,16,15,15,15,15,15,16,12,13,12,12,nan,nan,nan,nan,11,11,nan,nan,nan,nan,12,13,11,11,nan,nan
school1.col,14,14,nan,nan,41,41,15,15,15,15,41,41,15,15,23,23,nan,nan,nan,nan,14,14,nan,nan,nan,nan,23,24,14,14,nan,nan
DSJC125.5.col,17,17,nan,nan,28,25,22,21,22,21,28,25,20,21,19,20,nan,nan,nan,nan,18,18,nan,nan,nan,nan,20,21,17,17,nan,nan
queen5_5.col,5,5,nan,nan,7,7,5,5,5,5,7,7,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,23,5,7,5,5,nan,nan
queen12_12gb.col,144,13,nan,nan,17,20,16,16,16,16,17,20,14,15,14,14,nan,nan,nan,nan,14,14,nan,nan,nan,nan,14,15,13,14,nan,nan
R100_1g.col,100,5,nan,nan,7,7,6,6,6,6,7,7,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,6,5,5,5,nan,nan
miles250.col,8,8,nan,nan,10,9,8,8,8,8,10,9,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
DSJC125.9gb.col,125,44,nan,nan,54,56,52,51,52,51,54,56,49,49,46,47,nan,nan,nan,nan,44,44,nan,nan,nan,nan,49,49,44,44,nan,nan
queen11_11gb.col,121,12,nan,nan,17,18,15,15,15,15,17,18,14,14,13,13,nan,nan,nan,nan,12,13,nan,nan,nan,nan,14,14,12,12,nan,nan
