instance_name,best,best_performance,AntCol_rhyd,Construction_ROS_chiarandini,DSATUR_chiarandini,EX_DSATUR_chiarandini,Greedy_chiarandini,HEA_RLF_chiarandini,HEA_chiarandini,HEA_rhyd,HillClimb_rhyd,PartialCol_chiarandini,PartialCol_rhyd,Penalty_chiarandini,RLF_chiarandini,TABUCOL_chiarandini,TABUCOL_rhyd
queen12_12.col,13,13,15,17,16,16,17,14,14,14,15,14,14,nan,14,13,14
1-Insertions_5.col,6,6,7,6,6,6,6,6,6,7,7,6,7,nan,6,6,7
miles1500.col,73,73,74,74,73,73,74,73,73,74,74,73,74,nan,73,73,74
DSJC125.1gb.col,5,5,6,9,6,6,9,5,6,6,7,5,6,nan,6,5,6
myciel7gb.col,8,8,9,9,8,8,9,8,8,9,9,8,9,nan,8,8,9
zeroin.i.1.col,49,49,50,49,49,49,49,49,49,50,50,49,50,nan,49,49,50
3-FullIns_3.col,6,6,7,6,6,6,6,6,6,7,7,6,7,nan,6,6,7
david.col,11,11,12,12,11,11,12,11,11,12,12,11,12,nan,11,11,12
le450_5b.col,5,5,6,13,9,9,13,6,6,7,6,5,7,nan,6,5,7
myciel5.col,6,6,7,6,6,6,6,6,6,7,7,6,7,nan,6,6,7
r125.1.col,5,5,6,6,5,5,6,5,5,6,6,5,6,nan,5,5,6
r1000.1c.col,104,104,116,139,106,106,139,104,109,107,104,108,107,nan,112,104,106
